Check,Procedure,Expected result,Actual result,Pass / Fail / Inconclusive,App and deployed version,Test date,Sanitised evidence reference
Logged-out request,Call the protected function and direct entity API without signing in,No protected data or mutation,,,,,
Password-only admin,Sign in; do not complete authenticator verification; call both data paths,Protected operation denied,,,,,
No approval,Use a separate registered account without owner approval,Cannot enrol or gain admin access,,,,,
Stolen-password enrolment,Attempt first setup without the separate activation credential,"No QR, seed or active entitlement",,,,,
Valid owner,Complete activation and TOTP; create/read a synthetic note,Allowed through protected function only,,,,,
Direct SDK bypass,"Using that same valid login, call raw AdminNote list/create/get/update/delete",No canary data disclosed or mutation made,,,,,
Wrong account or session,Supply a proof from another account or separately authenticated login,Denied; proof is not portable,,,,,
Expired proof,Use a short test expiry in isolated test configuration; restore recorded settings,Denied after expiry,,,,,
Code replay,Resubmit an already accepted TOTP counter,No second authorisation,,,,,
Attempt limit,Make bounded invalid attempts against the test account,Limit applies; parallel requests cannot evade it,,,,,
Concurrent activation,Redeem the same synthetic activation concurrently,At most one successful consumption,,,,,
Reset/revoke races,Race test-user verification with reset/revocation,Old generation cannot authorise new requests,,,,,
Fresh owner check,Try security changes with a valid but non-fresh proof,Requires a new code; non-owner always denied,,,,,
Logout and offline logout,Sign out in one session; check another; simulate failed logout separately,Proofs invalidated; failure is not reported as success,,,,,
Malformed store/config,"Exercise missing key, invalid expiry and duplicate test rows in controlled setup",Fails closed; no arbitrary row selected,,,,,
Every business path,Exercise full operation inventory without proof and with wrong scope,"No bypass via special functions, files or subscriptions",,,,,
Normal work,"Test approved admins, guards/clients, scheduled jobs and uploads",Correct scoped work still succeeds,,,,,
Recovery,Rehearse controlled reset; owner procedure only with workspace access available,No password-only recovery; existing key preserved,,,,,
Cleanup,Check exact synthetic record IDs and temporary function names,Only owned test artefacts removed; no credentials logged,,,,,
